i,x,y,z
555,-4.9926,-8.19053,15.5624
556,-5.32348,-8.74418,15.6866
557,-5.67693,-9.32612,15.868
558,-6.05342,-9.93423,16.113
559,-6.45309,-10.5653,16.4286
560,-6.8757,-11.2145,16.8219
561,-7.32051,-11.8757,17.3003
562,-7.78616,-12.5405,17.8709
563,-8.27052,-13.1984,18.5403
564,-8.77055,-13.8365,19.314
565,-9.28217,-14.4397,20.1957
566,-9.8001,-14.9903,21.1868
567,-10.3178,-15.4685,22.2851
568,-10.8274,-15.853,23.4845
569,-11.3196,-16.1219,24.774
570,-11.7842,-16.254,26.137
571,-12.2097,-16.2301,27.5509
572,-12.5842,-16.0348,28.988
573,-12.8959,-15.6586,30.4156
574,-13.1331,-15.0992,31.7977
575,-13.286,-14.3626,33.0973
576,-13.3461,-13.4639,34.2788
577,-13.3082,-12.4265,35.3104
578,-13.1696,-11.2808,36.1667
579,-12.9313,-10.0622,36.8308
580,-12.5977,-8.80833,37.2948
581,-12.1764,-7.55615,37.5603
582,-11.6775,-6.33955,37.6371
583,-11.1132,-5.18718,37.5419
584,-10.4969,-4.12127,37.296
585,-9.8427,-3.15712,36.9234
586,-9.16429,-2.30332,36.4487
587,-8.47466,-1.56252,35.8952
588,-7.78554,-0.932443,35.2843
589,-7.10717,-0.407132,34.6346
590,-6.4481,0.0219195,33.9614
591,-5.81517,0.364723,33.277
592,-5.21359,0.631946,32.5906
593,-4.64706,0.834265,31.9094
594,-4.1179,0.981898,31.238
595,-3.62732,1.08431,30.5798
596,-3.17551,1.15005,29.9366
597,-2.7619,1.18666,29.3095
598,-2.38531,1.20067,28.6987
599,-2.04409,1.19769,28.1042
600,-1.73625,1.18241,27.5254
601,-1.4596,1.15874,26.9619
602,-1.2118,1.12989,26.4129
603,-0.990465,1.09845,25.8778
604,-0.793228,1.06649,25.3558
605,-0.617759,1.03565,24.8464
606,-0.461817,1.00718,24.349
607,-0.323269,0.982059,23.863
608,-0.200104,0.960999,23.388
609,-0.0904454,0.94453,22.9235
610,0.00744837,0.933031,22.4692
611,0.0951835,0.926766,22.0247
612,0.174234,0.925921,21.5899
613,0.24595,0.930621,21.1643
614,0.31156,0.940961,20.7478
615,0.372186,0.957017,20.3402
616,0.42885,0.978865,19.9413
617,0.482485,1.00659,19.5509
618,0.533943,1.0403,19.1689
619,0.584008,1.08014,18.7952
620,0.633402,1.12628,18.4297
621,0.6828,1.17894,18.0723
622,0.732834,1.23837,17.7229
623,0.784103,1.30491,17.3815
624,0.837184,1.37893,17.0481
625,0.892637,1.46087,16.7227
626,0.951013,1.55122,16.4053
627,1.01286,1.65058,16.096
628,1.07874,1.75959,15.7949
629,1.14922,1.87897,15.5022
630,1.22489,2.00955,15.2181
631,1.30636,2.15223,14.9428
632,1.39429,2.308,14.6767
633,1.48934,2.47798,14.4203
634,1.59226,2.66336,14.1739
635,1.70383,2.86546,13.9384
636,1.82488,3.08572,13.7143
637,1.95631,3.32568,13.5027
638,2.09909,3.58701,13.3047
639,2.25425,3.87149,13.1216
640,2.42292,4.18102,12.955
641,2.60628,4.51761,12.8067
642,2.80562,4.88334,12.679
643,3.02229,5.28036,12.5745
644,3.25773,5.71086,12.4963
645,3.51343,6.17699,12.4481
646,3.79097,6.6808,12.434
647,4.09194,7.22416,12.459
648,4.41795,7.80862,12.5289
649,4.77059,8.43526,12.6502
650,5.15136,9.10446,12.8303
651,5.56163,9.81569,13.0779
652,6.0025,10.5671,13.4024
653,6.47473,11.3553,13.814
654,6.97861,12.1748,14.3241
655,7.51371,13.0174,14.9443
656,8.07876,13.8721,15.6864
657,8.67137,14.724,16.5618
658,9.28777,15.5543,17.5805
659,9.92257,16.3399,18.7499
660,10.5685,17.0534,20.0736
661,11.216,17.6632,21.5498
662,11.8536,18.1353,23.1694
663,12.4674,18.4339,24.9149
664,13.0413,18.5249,26.7583
665,13.5581,18.3784,28.6619
666,13.9992,17.9722,30.578
667,14.3467,17.2958,32.4514
668,14.5838,16.3529,34.2227
669,14.6964,15.163,35.8332
670,14.6745,13.7614,37.23
671,14.513,12.197,38.3711
672,14.2125,10.5276,39.2291
673,13.7791,8.8153,39.7938
674,13.2244,7.12041,40.0715
675,12.5642,5.49645,40.0833
676,11.8175,3.98652,39.8615
677,11.005,2.62137,39.4447
678,10.1477,1.41913,38.8744
679,9.2658,0.386483,38.1906
680,8.37765,-0.479332,37.4297
681,7.49932,-1.18808,36.6225
682,6.64415,-1.75417,35.7939
683,5.82272,-2.19457,34.963
684,5.0429,-2.52712,34.1436
685,4.31015,-2.76936,33.3448
686,3.62778,-2.93771,32.5724
687,2.99729,-3.04702,31.8294
688,2.41871,-3.11038,31.1167
689,1.89093,-3.13904,30.434
690,1.41193,-3.14255,29.7801
691,0.979066,-3.12886,29.1534
692,0.58926,-3.10453,28.5521
693,0.239161,-3.07487,27.9741
694,-0.0747192,-3.04418,27.4178
695,-0.3559,-3.01586,26.8815
696,-0.607855,-2.99261,26.3636
697,-0.833952,-2.97652,25.8629
698,-1.03741,-2.9692,25.3784
699,-1.22129,-2.97189,24.9091
700,-1.38845,-2.98553,24.4544
701,-1.54157,-3.01084,24.0137
702,-1.6831,-3.04838,23.5866
703,-1.81535,-3.09857,23.1728
704,-1.94042,-3.16178,22.7721
705,-2.06024,-3.23832,22.3846
706,-2.1766,-3.3285,22.0102
707,-2.29115,-3.43261,21.6491
708,-2.40538,-3.55097,21.3016
709,-2.52071,-3.68395,20.968
710,-2.63845,-3.83194,20.6488
711,-2.75981,-3.99538,20.3445
712,-2.88594,-4.17476,20.0558
713,-3.01792,-4.3706,19.7835
714,-3.15681,-4.58348,19.5286
715,-3.30358,-4.81399,19.2922
716,-3.4592,-5.06275,19.0754
717,-3.62459,-5.33037,18.8799
718,-3.80065,-5.61747,18.7072
719,-3.98824,-5.92457,18.5593
720,-4.18819,-6.25215,18.4382
721,-4.40129,-6.60055,18.3463
722,-4.62828,-6.96993,18.2863
723,-4.86983,-7.36024,18.2611
724,-5.12654,-7.77108,18.2738
725,-5.39888,-8.20172,18.3281
726,-5.68719,-8.6509,18.4276
727,-5.99164,-9.11678,18.5763
728,-6.31216,-9.59685,18.7784
729,-6.64841,-10.0877,19.0381
730,-6.99974,-10.5851,19.3596
731,-7.36506,-11.0837,19.7469
732,-7.74286,-11.5768,20.2035
733,-8.13106,-12.0567,20.7323
734,-8.52698,-12.5143,21.3353
735,-8.92729,-12.9393,22.013
736,-9.32792,-13.3205,22.7643
737,-9.72408,-13.6455,23.586
738,-10.1102,-13.9018,24.4724
739,-10.4802,-14.0767,25.4148
740,-10.8272,-14.1583,26.402
741,-11.144,-14.1364,27.4193
742,-11.4232,-14.0028,28.4497
743,-11.6575,-13.7526,29.4737
744,-11.84,-13.3845,30.47
745,-11.9645,-12.9018,31.4171
746,-12.026,-12.3121,32.2937
747,-12.0208,-11.6275,33.0806
748,-11.947,-10.864,33.761
749,-11.8045,-10.0404,34.3224
750,-11.5951,-9.17764,34.7566
751,-11.3225,-8.29712,35.0601
752,-10.9921,-7.41965,35.2342
753,-10.6105,-6.56431,35.2844
