i,x,y,z
605,-8.36053,-5.98161,29.7138
606,-8.12482,-5.7938,29.4105
607,-7.89514,-5.63644,29.0881
608,-7.6738,-5.50904,28.7505
609,-7.46282,-5.41076,28.4014
610,-7.26392,-5.34051,28.0444
611,-7.07858,-5.29706,27.6826
612,-6.90797,-5.27906,27.3188
613,-6.75307,-5.28513,26.9558
614,-6.6146,-5.31395,26.5958
615,-6.49309,-5.36421,26.241
616,-6.38892,-5.4347,25.8935
617,-6.3023,-5.52433,25.555
618,-6.23334,-5.63208,25.2274
619,-6.18203,-5.75705,24.9123
620,-6.1483,-5.89846,24.6111
621,-6.13201,-6.05558,24.3255
622,-6.13295,-6.22779,24.0569
623,-6.15089,-6.41449,23.8068
624,-6.18557,-6.61515,23.5768
625,-6.2367,-6.82921,23.3683
626,-6.30397,-7.0561,23.1828
627,-6.38701,-7.29521,23.022
628,-6.48548,-7.54584,22.8874
629,-6.59894,-7.80715,22.7807
630,-6.72696,-8.07818,22.7034
631,-6.869,-8.35777,22.6572
632,-7.0245,-8.64452,22.6437
633,-7.19277,-8.93679,22.6645
634,-7.37302,-9.23262,22.721
635,-7.56436,-9.52976,22.8146
636,-7.76573,-9.82558,22.9463
637,-7.9759,-10.1171,23.1171
638,-8.19347,-10.401,23.3274
639,-8.41683,-10.6735,23.5773
640,-8.64415,-10.9306,23.8664
641,-8.8734,-11.168,24.1937
642,-9.10229,-11.3812,24.5573
643,-9.32832,-11.5656,24.9549
644,-9.54881,-11.7165,25.3829
645,-9.76088,-11.8296,25.8371
646,-9.96155,-11.9009,26.3124
647,-10.1477,-11.9268,26.8027
648,-10.3163,-11.9046,27.3011
649,-10.4644,-11.8325,27.8002
650,-10.589,-11.7097,28.2921
651,-10.6877,-11.5368,28.7685
652,-10.7582,-11.3155,29.2211
653,-10.7987,-11.049,29.6421
654,-10.8079,-10.7415,30.0242
655,-10.7853,-10.3986,30.3607
656,-10.7307,-10.0266,30.6464
657,-10.6448,-9.63258,30.8769
658,-10.5288,-9.22399,31.0496
659,-10.3845,-8.80843,31.1631
660,-10.2144,-8.3933,31.2172
661,-10.0213,-7.98555,31.2134
662,-9.8084,-7.59151,31.154
663,-9.57913,-7.2167,31.0423
664,-9.33713,-6.8657,30.8825
665,-9.08606,-6.54216,30.679
666,-8.82954,-6.24877,30.4368
667,-8.57104,-5.98733,30.1608
668,-8.31385,-5.75881,29.8562
669,-8.061,-5.5635,29.5276
670,-7.81521,-5.40107,29.1798
671,-7.57892,-5.27074,28.817
672,-7.35422,-5.17139,28.4431
673,-7.1429,-5.10165,28.0618
674,-6.94642,-5.06001,27.6763
675,-6.76597,-5.04489,27.2896
676,-6.60247,-5.05472,26.9044
677,-6.45661,-5.08798,26.523
678,-6.32887,-5.14324,26.1475
679,-6.21956,-5.21918,25.7801
680,-6.12883,-5.31462,25.4224
681,-6.05671,-5.42852,25.0762
682,-6.00315,-5.55994,24.7431
683,-5.96801,-5.7081,24.4246
684,-5.9511,-5.87232,24.1223
685,-5.95217,-6.05201,23.8375
686,-5.97097,-6.24663,23.5719
687,-6.00721,-6.45572,23.3268
688,-6.06057,-6.67882,23.1039
689,-6.13075,-6.91545,22.9047
690,-6.2174,-7.16508,22.7308
691,-6.32016,-7.42714,22.5839
692,-6.43866,-7.70089,22.4657
693,-6.57246,-7.98546,22.378
694,-6.72109,-8.27979,22.3225
695,-6.884,-8.58256,22.3011
696,-7.06057,-8.89219,22.3154
697,-7.25006,-9.20676,22.3671
698,-7.4516,-9.52401,22.4579
699,-7.66418,-9.84127,22.5892
700,-7.88659,-10.1555,22.762
701,-8.11745,-10.4631,22.9773
702,-8.35515,-10.7603,23.2353
703,-8.59782,-11.0426,23.536
704,-8.84336,-11.3054,23.8785
705,-9.0894,-11.5438,24.2614
706,-9.33331,-11.7525,24.6821
707,-9.57223,-11.9263,25.1375
708,-9.80307,-12.0603,25.6231
709,-10.0226,-12.1496,26.1335
710,-10.2273,-12.1902,26.6624
711,-10.414,-12.1784,27.2024
712,-10.5791,-12.1121,27.7453
713,-10.7195,-11.9899,28.2823
714,-10.8323,-11.8121,28.8043
715,-10.9147,-11.5802,29.3021
716,-10.9648,-11.2976,29.7665
717,-10.9809,-10.9687,30.1893
718,-10.9621,-10.5996,30.563
719,-10.9084,-10.1973,30.8813
720,-10.8202,-9.76974,31.1394
721,-10.6989,-9.32536,31.334
722,-10.5463,-8.87269,31.4634
723,-10.3651,-8.42012,31.5276
724,-10.1584,-7.97552,31.5281
725,-9.92976,-7.54604,31.4676
726,-9.68298,-7.13784,31.3499
727,-9.42208,-6.75607,31.1796
728,-9.15113,-6.40471,30.9619
729,-8.87411,-6.08667,30.7024
730,-8.59489,-5.80381,30.4066
731,-8.31706,-5.55707,30.0802
732,-8.04394,-5.34658,29.7284
733,-7.77852,-5.17181,29.3564
734,-7.52341,-5.03171,28.9688
735,-7.28087,-4.92488,28.5699
736,-7.05278,-4.84964,28.1635
737,-6.8407,-4.80421,27.753
738,-6.64584,-4.78674,27.3415
739,-6.46915,-4.7954,26.9319
740,-6.31128,-4.82847,26.5264
741,-6.1727,-4.88433,26.1273
742,-6.05367,-4.96152,25.7365
743,-5.95428,-5.05874,25.356
